title,author,copyright
Textbook of methods and principles of systematic zoology,"Curtis, Rudolph",2024
Zoology,"Miller, Stephen A.",2024
Guide to the dissection of the dog,"Evans, Edward E.",2017
Laboratory studies in integrated principles of zoology,"Hickman, Cleveland P. Jr.",2017
General zoology : text workbook,"Guerrero, Jonathan Jaime",2015
Systematic zoology: a study guide to the animal phyla,"Guerrero, Jonathan J.",2015
Applied entomology and zoology,,2014
Zoology,"Miller, Stephen A.",2013
Zoology,"Miller, Stephen A.",2012
Integrated principles of zoology,"Hickman, Cleveland Jr. P. et. al.",2011
Zoology,,2010
Zoology,"Miller, Stephen A.",2007
Zoology,"Miller, Stephen A.",2005
Laboratory manual in zoology : General zoology 1,"San Pedro, Priscilla Villalcorte",2004
Laboratory manual for general zoology,"Aprieto, Virginia L.",2000
General Zoology: Lecture Manual,C.R. Chanco,1995
Applied science review: zoology,"Bres, Mimi",1994
General zoology laboratory manual,"Chanco, Christine",1992
Laboratory guide and workbook for general zoology,"De Guzman, Francisco G.",1987
Laboratory guide and workbook for general zoology,"De Guzman, Francisco G.",1982
