title,bkID,parsed_biblio
Textbook of methods and principles of systematic zoology,49988,"{'001': 'Textbook of methods and principles of systematic zoology', '002': 'Rudolph Curtis', '003': None, '004': 'Curtis, Rudolph', '005': None, '006': None, '007': None, '008': None, '009': 'Delaware, USA', '0010': 'American Academic Publisher', '0011': '2024', '0012': None, '0013': 'xiii, 289 pages.', '0014': 'Illustrations, figures and tables.', '0015': '25 cm.', '0016': None, '0017': None, '0018': 'Includes bibliography and index.', '0019': '9781666867855', '0020': 'Animals--Classifications.;Zoology.', '0021': None, '0022': None, '0023': None, '0024': 'CIR;', '0025': '591.012 C9784 2024', '0026': 'MLIB00031159', '0027': 'English', '0028': 'Agri-Science Section', '0029': '31159', '0030': '1', '0031': '1', '0032': '0', '0033': 'Chapter 1 Introduction -- Chapter 2 Class mammalia -- Chapter 3 Class birds -- Chapter 4 Class amphibia -- Chapter 5 Reptiles -- Chapter 6 Fishes -- Chapter 7 Zoology: Investigating the animal world -- Chapter 8 Arachnida -- Chapter 9 Crustacean -- Chapter 10 Mollusca.', '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': 'Text', '0040': 'Unmediated', '0041': 'Volume', '0042': 'MLIB00031159.jpg'}"
Zoology,48739,"{'001': 'Zoology', '002': None, '003': None, '004': 'Miller, Stephen A.', '005': None, '006': 'Tupper, Todd A.', '007': None, '008': None, '009': 'New York', '0010': 'McGraw Hill LLC', '0011': '2024', '0012': '12th ed.', '0013': '620 p.', '0014': None, '0015': '27 cm', '0016': None, '0017': None, '0018': None, '0019': '9781266113598', '0020': 'Zoology', '0021': None, '0022': None, '0023': None, '0024': None, '0025': 'CVMRC 590 M6121 2024', '0026': 'CVMRC00846;CVMRC00850', '0027': 'ENGLISH', '0028': 'CVMRC', '0029': None, '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': 'Text', '0040': 'Unmediated', '0041': 'Volume', '0042': None}"
Guide to the dissection of the dog,48760,"{'001': 'Guide to the dissection of the dog', '002': None, '003': None, '004': 'Evans, Edward E.', '005': None, '006': 'de Lahunta, Alexander', '007': None, '008': None, '009': 'St. Louis, Missouri', '0010': 'Elsevier Inc.', '0011': '2017', '0012': '8th ed.', '0013': '327 p.', '0014': None, '0015': '28 cm', '0016': None, '0017': None, '0018': None, '0019': '9780323391658', '0020': 'Dogs-anatomy; dogs-dissection; dissection; zoology', '0021': None, '0022': None, '0023': None, '0024': None, '0025': 'CVMRC 636.708 Ev151 2017', '0026': 'CVMRC00901; CVMRC00902', '0027': 'ENGLISH', '0028': 'CVMRC', '0029': None, '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': 'Text', '0040': 'Unmediated', '0041': 'Volume', '0042': None}"
Laboratory studies in integrated principles of zoology,48148,"{'001': 'Laboratory studies in integrated principles of zoology', '002': None, '003': None, '004': 'Hickman, Cleveland P. Jr.', '005': None, '006': 'Kats, Lee B.; Keen, Susan L.', '007': None, '008': None, '009': 'New York', '0010': 'McGraw Hill education', '0011': '2017', '0012': '17th ed.', '0013': '435 p.', '0014': None, '0015': '28 cm.', '0016': None, '0017': None, '0018': 'includes bibliographic references and index', '0019': '9789813156951', '0020': 'Zoology; animals', '0021': None, '0022': None, '0023': None, '0024': None, '0025': 'GC-ZOO 590 H528 2017', '0026': 'MLIB00024307', '0027': 'ENGLISH', '0028': 'GC-ZOO - Reserve', '0029': '30711 (5,495 Book Quick Marketing', '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': 'Text', '0040': 'Unmediated', '0041': 'Volume', '0042': None}"
General zoology : text workbook,40379,"{'001': 'General zoology : text workbook', '002': None, '003': None, '004': 'Guerrero, Jonathan Jaime', '005': None, '006': 'Malonzo, Charmaine A.', '007': None, '008': None, '009': 'Manila', '0010': 'Educational Publishing House', '0011': '2015', '0012': '1st ed.', '0013': '165 p.', '0014': 'ill.', '0015': '24 cm.', '0016': None, '0017': None, '0018': None, '0019': '9789715133333', '0020': 'Zoology', '0021': None, '0022': None, '0023': None, '0024': None, '0025': 'GC-ZOO 590 G9375 2015', '0026': 'MLIB00023760; MLIB00023766(Reserve)', '0027': 'English', '0028': 'GC-ZOO - Circulation/Reserve', '0029': '29969; 29968', '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': None, '0040': None, '0041': None, '0042': None}"
Systematic zoology: a study guide to the animal phyla,40345,"{'001': 'Systematic zoology: a study guide to the animal phyla', '002': None, '003': None, '004': 'Guerrero, Jonathan J.', '005': None, '006': None, '007': None, '008': None, '009': 'Manila', '0010': 'Educational Publishing House', '0011': '2015', '0012': 'First edition', '0013': '151 p.', '0014': None, '0015': '24 cm.', '0016': None, '0017': None, '0018': None, '0019': '9789715133340', '0020': 'Zoology', '0021': None, '0022': None, '0023': None, '0024': None, '0025': 'GC-ZOO 590 G9375 2015', '0026': 'MLIB00023623; MLIB00023624(Reserve)', '0027': 'English', '0028': 'GC-ZOO - Circulation/Reserve', '0029': '29889; 29890', '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': None, '0040': None, '0041': None, '0042': None}"
Applied entomology and zoology,21669,"{'001': 'Applied entomology and zoology', '002': None, '003': None, '004': None, '005': None, '006': None, '007': None, '008': 'The Japanese Society of Applied Entomology & Zoology', '009': 'Japan', '0010': 'Springer', '0011': '2014', '0012': None, '0013': '200 p.', '0014': None, '0015': '28 cm.', '0016': None, '0017': None, '0018': None, '0019': None, '0020': 'Zoology, Economic', '0021': None, '0022': None, '0023': None, '0024': 'CIR', '0025': 'GC-EPM 590 Ap5 2014', '0026': 'MLIB00022147', '0027': 'English', '0028': 'GC-EPM - Circulation', '0029': '28078', '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': 'Text', '0040': 'Unmediated', '0041': None, '0042': None}"
Zoology,36004,"{'001': 'Zoology', '002': None, '003': None, '004': 'Miller, Stephen A.', '005': None, '006': 'Harley, John P.', '007': None, '008': None, '009': 'New York', '0010': 'McGraw-Hill Education', '0011': '2013', '0012': '9th ed.', '0013': '617 p.', '0014': 'ill.', '0015': '26 cm.', '0016': None, '0017': None, '0018': 'includes glossary and index', '0019': '9781259073717', '0020': 'Zoology', '0021': None, '0022': None, '0023': None, '0024': None, '0025': 'GC-ZOO 590 M6121 2013', '0026': 'MLIB00023735; MLIB00023455; MLIB00023757(Reserve); MLIB00023726; MLIB00023762', '0027': 'English', '0028': 'GC-ZOO - Circulation/Reserve', '0029': '29942; 29938; 29941; 29940; 29939', '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': 'Text', '0040': 'Unmediated', '0041': None, '0042': None}"
Zoology,14957,"{'001': 'ZOOLOGY', '002': 'STEPHEN A. MILLER', '003': None, '004': 'MILLER, STEPHEN A.', '005': None, '006': None, '007': None, '008': None, '009': None, '0010': None, '0011': 'c2012', '0012': None, '0013': None, '0014': None, '0015': None, '0016': None, '0017': None, '0018': None, '0019': None, '0020': None, '0021': None, '0022': None, '0023': None, '0024': None, '0025': '590 M6471 2012', '0026': '010147', '0027': None, '0028': 'CBSUA Calabanga Library - CIRCULATION', '0029': None, '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': 'Text', '0040': 'Unmediated', '0041': 'Volume', '0042': None}"
Integrated principles of zoology,30255,"{'001': 'Integrated principles of zoology', '002': None, '003': None, '004': 'Hickman, Cleveland Jr. P. et. al.', '005': None, '006': None, '007': None, '008': None, '009': 'New York', '0010': 'McGraw Hill', '0011': '2011', '0012': '15th ed.', '0013': '909 p.', '0014': None, '0015': '25 cm.', '0016': None, '0017': None, '0018': 'Includes bibliographical references , glossary and index', '0019': '9781259007460', '0020': 'Zoology', '0021': None, '0022': None, '0023': None, '0024': 'CIR', '0025': 'GC-ZOO 591 Z766 2011', '0026': 'MLIB00016799', '0027': 'English', '0028': 'GC-ZOO - Circulation', '0029': '27527', '0030': '1', '0031': '1', '0032': '0', '0033': None, '0034': None, '0035': None, '0036': '0', '0037': None, '0038': None, '0039': 'Text', '0040': 'Unmediated', '0041': 'Volume', '0042': None}"
